id;product_name;product_price;product_price_sale;product_description;product_short_description;product_quantity;product_code;product_point_rating;created_by;created_time
1;Steel;31485;98311;quantify monetize Consultant;wireless Handmade;76808;deposit Track actuating;64964;Division;2022-11-01T09:10:41
2;Card;44325;83023;Metical Incredible;Union compressing;63810;Bedfordshire;60561;Bedfordshire Lao neutral;2022-11-01T11:20:00
3;Business-focused;16911;11502;CFP orange;Village;95487;Vermont auxiliary;90726;Mexico yellow Cape;2022-11-01T05:43:36
4;homogeneous Crossroad;86573;17814;Bike Shoes Center;tangible;62192;methodical;83666;Cheese Consultant online;2022-10-31T16:54:33
5;open-source;17130;8650;Arizona mobile;AGP lavender;71562;sticky Harbors Automotive;41021;Ergonomic Ergonomic;2022-11-01T10:55:53
6;deposit;42304;51756;back-end National Operations;Games;67286;Usability multi-byte;34414;Account;2022-10-31T16:00:14
7;Martinique Executive Down-sized;7332;26210;wireless Practical Solutions;International Square;59473;Vista;51362;Product;2022-10-31T20:54:29
8;e-services Security Colombian;35682;30266;Assistant Berkshire program;Accounts Borders;66901;Stand-alone;14752;synthesizing pink Sausages;2022-11-01T04:12:05
9;Phased;42536;67105;Electronics;Vista;29881;Account portals Berkshire;36836;Chicken;2022-11-01T07:37:28
10;Account Account;99880;94542;markets;adapter Keyboard Industrial;11276;back-end application;41129;bypass Open-architected Venezuela;2022-10-31T15:26:35
