id;name;description;weight;is_deleted;created_by;created_date;last_modified_by;last_modified_date
1;Gorgeous Granite array;calculating withdrawal and;85464;true;Concrete South infomediaries;2023-12-10T04:23:22;Electronics York Plastic;2023-12-09T14:06:54
2;Planner;Sleek Frozen;69284;false;Nepal Swiss;2023-12-09T16:12:38;Via;2023-12-09T22:48:53
3;compressing Dynamic SQL;hack;27160;true;transmitting hacking Analyst;2023-12-10T03:29:06;Barbados Shoes Garden;2023-12-09T16:07:44
4;multi-byte;Bedfordshire;26341;false;Communications FTP;2023-12-10T03:53:10;bus cohesive;2023-12-10T03:52:37
5;Small coherent;Director;9149;false;Samoa Toys;2023-12-09T15:29:05;intranet;2023-12-09T06:28:29
6;core driver;foreground red sky;5908;true;Villages;2023-12-09T16:18:33;Landing array Organic;2023-12-09T15:34:01
7;web-enabled;tolerance Comoros Electronics;72916;false;firewall Berkshire;2023-12-09T08:47:50;Handcrafted;2023-12-09T19:07:56
8;action-items Bedfordshire;Rapid;73382;true;Account FTP program;2023-12-09T21:06:51;Team-oriented SAS online;2023-12-09T13:52:10
9;empower;Principal SCSI Strategist;68559;false;Guinea-Bissau Consultant Account;2023-12-09T18:44:24;blue systemic deposit;2023-12-09T09:30:56
10;Awesome streamline primary;Club;52316;true;Administrator workforce bypassing;2023-12-09T19:44:29;niches;2023-12-09T05:46:59
