id;grade_composition_id;student_id;course_id;reviewer_id;assigment_id;assiment_grade_id;current_grade;expectation_grade;student_explanation;teacher_comment;is_final
1;20389;deposit;56866;2187;27767;64792;85857;66599;Credit Agent bus;Berkshire invoice Wall;true
2;71488;Kiribati;76584;41432;23441;58306;55849;18900;Cambridgeshire;Clothing frame;true
3;97716;Persevering;662;13333;66712;51983;69929;98492;transmit;circuit SCSI Liaison;true
4;362;calculating content-based Maine;36926;83212;1612;29838;27668;17070;Central Fresh;Indiana blue eyeballs;true
5;55950;Tuna ubiquitous override;45676;40222;17384;61820;50857;26963;web-readiness;Frozen synthesize purple;false
6;14088;real-time User-centric;12504;97518;68530;41267;90330;97853;Cambridgeshire;e-tailers drive Pizza;false
7;63707;neural;13165;45773;62332;50597;12682;18598;generate;Checking quantifying Producer;false
8;27055;Research Towels withdrawal;63222;58500;96326;76840;69767;83319;payment;Tuna Card;true
9;8319;withdrawal Borders demand-driven;95975;21233;58715;86351;50451;17169;Pakistan;cross-platform blue indigo;true
10;63918;Planner;28600;43859;23016;27674;84132;92258;Visionary;Designer Way violet;true
