id;category_name;category_description;category_url;created_by;created_time
1;Rubber;1080p Handmade;groupware Nigeria Optimized;background Functionality;2022-11-01T03:04:53
2;Concrete software Mexico;Keyboard;Carolina sensor;Cheese connect;2022-11-01T01:10:04
3;Yemeni;Account;Granite Metal Auto;blue mint Licensed;2022-10-31T17:18:31
4;initiatives;Ergonomic Intelligent;Gibraltar indigo parsing;Tasty feed;2022-11-01T02:11:01
5;Granite Oregon 24/7;Keyboard South discrete;New indexing;knowledge Chicken Granite;2022-10-31T22:27:43
6;Bedfordshire Graphical;Berkshire;Organic Alabama;FTP;2022-11-01T06:54:02
7;Architect Human Profit-focused;revolutionize;monitoring;dedicated;2022-11-01T10:02:30
8;Cuba;payment;payment;Ergonomic;2022-11-01T06:11:46
9;scale adapter;Tunisian Card;Refined cross-platform;background override;2022-10-31T23:27:17
10;systemic feed Movies;Granite Cloned;tertiary Engineer;Practical;2022-11-01T07:26:06
