id;code;name;owner_id;description;invitation_code;expiration_date;is_deleted;created_by;created_date;last_modified_by;last_modified_date
1;Dollar Peru Innovative;1001;20270;embrace;Ergonomic Sausages niches;2023-12-09T09:16:23;true;FTP Executive;2023-12-09T09:17:25;Zloty Iraq;2023-12-10T00:08:30
2;exuding Arizona Architect;1001;1365;Function-based Bedfordshire;Mouse Territory Steel;2023-12-10T02:54:10;false;Table Gorgeous deposit;2023-12-09T20:25:01;Sleek Dinar Games;2023-12-10T04:50:33
3;open-source Kids;1001;9975;Optimized payment;FTP;2023-12-09T14:58:42;true;blue;2023-12-10T01:05:24;virtual;2023-12-09T20:19:59
4;THX;1001;12147;Granite Orchestrator;Metal;2023-12-09T13:07:59;false;copy programming leading-edge;2023-12-09T05:41:27;ubiquitous;2023-12-10T02:58:04
5;strategic;1080p Data JBOD;48348;driver Plastic;Small functionalities;2023-12-09T13:49:15;false;Toys Account generating;2023-12-09T22:18:15;e-business;2023-12-09T20:21:28
6;Pre-emptive;Response hack upward-trending;5882;Mexico web-readiness;orange Buckinghamshire;2023-12-10T04:21:31;false;Corporate synergy;2023-12-09T23:01:31;eco-centric adapter;2023-12-09T17:21:59
7;Central Tasty Jan;orchid Facilitator;94135;Hollow challenge drive;Licensed;2023-12-09T16:11:48;false;bypassing Buckinghamshire;2023-12-09T19:43:06;copy asymmetric users;2023-12-09T12:44:35
8;Cambridgeshire Shoes;Refined CSS;91075;Incredible primary Table;sticky back;2023-12-09T16:03:28;true;bypass Rubber tan;2023-12-09T20:35:24;even-keeled paradigm Diverse;2023-12-09T15:25:56
9;Handmade copying Cape;Unbranded;92952;seamless;program Mississippi;2023-12-09T14:01:08;false;Marketing;2023-12-09T10:47:34;Islands Forward Cheese;2023-12-10T02:04:28
10;Nigeria;parse Metal;34801;hard RSS Florida;Senior Central;2023-12-09T17:15:40;false;Outdoors Tokelau;2023-12-09T08:34:45;neural wireless;2023-12-09T08:13:45
