id;student_id;grade;is_deleted;created_by;created_date;last_modified_by;last_modified_date
1;index radical;6395;true;Computers;2023-12-10T03:16:26;Fresh primary Chips;2023-12-09T17:41:34
2;Tuna;62548;true;Borders Albania Hawaii;2023-12-09T12:36:24;Consultant;2023-12-09T21:18:26
3;transmitting;16189;true;Paraguay grow Manager;2023-12-10T00:37:16;productivity Auto;2023-12-09T18:53:32
4;Investment reinvent;22720;false;Garden Alley;2023-12-09T05:50:48;Dynamic Functionality JSON;2023-12-09T12:32:30
5;e-enable;70730;true;archive;2023-12-09T22:07:17;Intelligent connecting;2023-12-09T12:13:06
6;Health intelligence;33502;false;Peso;2023-12-09T14:44:05;synthesize Dam;2023-12-09T14:36:38
7;back-end Saudi;64639;true;Tactics;2023-12-09T20:30:16;Hat driver withdrawal;2023-12-09T23:42:25
8;Small Awesome;24384;false;input Human Senior;2023-12-09T09:02:25;Account feed;2023-12-09T22:59:58
9;Switchable synthesize;15808;true;Account blockchains Bedfordshire;2023-12-09T19:30:33;calculating lime;2023-12-09T14:29:28
10;model;27206;false;auxiliary cross-platform;2023-12-09T09:15:15;enterprise panel;2023-12-09T17:28:37
