id;grade_composition_id;student_id;is_marked;is_deleted;created_by;created_date;last_modified_by;last_modified_date
1;38862;boliviano Generic compress;true;false;superstructure;2023-12-09T11:26:17;content;2023-12-09T19:51:22
2;12277;Account Cotton North;false;true;input proactive;2023-12-09T05:44:50;East;2023-12-09T15:54:10
3;90385;Soap;true;true;green;2023-12-10T04:34:21;Supervisor IB generate;2023-12-09T09:58:56
4;24257;e-commerce;true;false;black;2023-12-09T18:24:59;yellow connecting bandwidth;2023-12-09T10:46:14
5;21236;neural-net orange;false;true;Re-engineered invoice Gorgeous;2023-12-09T17:13:43;Bedfordshire Investment;2023-12-09T06:36:06
6;93230;Sausages;false;false;cyan primary;2023-12-09T10:46:48;calculating Strategist;2023-12-10T05:28:49
7;73436;RAM Practical;true;false;Officer;2023-12-09T12:05:03;mindshare Re-contextualized;2023-12-09T19:39:20
8;97000;heuristic Shoes;false;true;Chief emulation;2023-12-09T16:54:56;Australian;2023-12-09T15:17:28
9;22815;deliverables;true;false;1080p;2023-12-09T19:42:38;Bedfordshire Cyprus static;2023-12-09T16:31:19
10;41094;India;false;true;Account optimize;2023-12-10T02:51:39;enhance;2023-12-10T03:32:59
