id;name;scale;is_deleted;created_by;created_date;last_modified_by;last_modified_date;type;is_public
1;internet copy;9716;true;Handmade Shirt;2023-12-09T11:06:09;sexy Toys Bedfordshire;2023-12-09T10:28:18;NONE;true
2;static;89466;false;Account circuit TCP;2023-12-09T20:39:57;pixel connecting;2023-12-09T10:38:24;PERCENTAGE;true
3;Car;64004;true;driver;2023-12-09T06:59:44;Delaware empower;2023-12-10T02:10:28;POINT;false
4;Chile;70024;true;Generic Orchestrator;2023-12-09T11:51:36;expedite;2023-12-09T12:37:36;NONE;false
5;24/365 hack;71016;true;Cotton Lead Officer;2023-12-09T07:56:06;whiteboard Dakota;2023-12-09T12:00:23;POINT;false
6;Agent;20700;false;Avon;2023-12-09T09:10:15;Account;2023-12-09T06:20:03;POINT;true
7;sensor;66773;false;Mouse Loan;2023-12-09T07:11:33;Zambia Loan Assurance;2023-12-09T21:23:31;POINT;false
8;Books Account;90465;true;overriding Outdoors;2023-12-09T16:34:26;copying;2023-12-09T09:23:47;POINT;true
9;multi-byte;80788;false;Metal Extended Metal;2023-12-09T15:12:26;Bedfordshire Concrete;2023-12-09T06:18:21;POINT;false
10;networks;61346;true;connecting Awesome Intelligent;2023-12-09T09:28:48;Interface;2023-12-09T17:56:09;NONE;true
